code,sub_c,sn,n,dep,program,Regulation,Semester,istheory,ispractical,L,T,P,IM,EM,Cr
14144112,PJ,MP&MC LAB,Micro Processors & Micro Controllers Lab,2,UG,R-14,VII SEM,0,1,0,0,3,50,50,2
14024113,PJ,PSS LAB,Power Systems Simulation Lab,2,UG,R-14,VII SEM,0,1,0,0,3,50,50,2
14024201,PJ,UEP,Utilization of Electrical Power,2,UG,R-14,VIII SEM,1,0,3,1,0,30,70,3
14024202,PJ,PSO&C,Power System Operation & Control,2,UG,R-14,VIII SEM,1,0,3,1,0,30,70,3
14024203,PJ,EDS,Electrical Distribution Systems,2,UG,R-14,VIII SEM,1,0,3,1,0,30,70,3
14024204,PJ,EA&DSM,Energy Auditing and Demand Side Management,2,UG,R-14,VIII SEM,1,0,4,0,0,30,70,3
14024205,PJ,SMPC,Switch Mode Power Converters,2,UG,R-14,VIII SEM,1,0,4,0,0,30,70,3
14024206,PJ,EMD,Electrical Machine Design,2,UG,R-14,VIII SEM,1,0,3,1,0,30,70,3
14024207,PJ,S,Seminar,2,UG,R-14,VIII SEM,1,0,0,0,0,100,0,3
14024208,PJ,PW,Project Work,2,UG,R-14,VIII SEM,0,1,0,0,0,50,50,10
14022101,PN,BEEE,Basic Electrical and Electronics Engineering,2,UG,R-14,III SEM,1,0,3,1,0,30,70,3
14212102,BS,BS,Probability and Statistics,6,UG,R-14,III SEM,1,0,3,1,0,30,70,3
14012103,ED,EM ,Engineering Mechanics,1,UG,R-14,III SEM,1,0,3,1,0,30,70,3
14012104,PJ,MM-1,Mechanics of Materials-1,1,UG,R-14,III SEM,1,0,3,1,0,30,70,3
14012105,PJ,IS,Introduction to Surveying,1,UG,R-14,III SEM,1,0,3,1,0,30,70,3
14012106,PJ,BM,Building Materials,1,UG,R-14,III SEM,1,0,3,1,0,30,70,3
14012107,PJ,SL-1,Surveying Lab-1,1,UG,R-14,III SEM,0,1,0,0,3,50,50,2
14012108,PJ,SML,Strength of Materials Lab,1,UG,R-14,III SEM,0,1,0,0,3,50,50,2
14022109,PN,BEEE,Basic Electrical and Electronics Engineering Lab,2,UG,R-14,III SEM,0,1,0,0,3,50,50,2
14012201,PJ,EG,Engineering Geology,1,UG,R-14,IV SEM,1,0,3,0,0,30,70,3
14012202,HS,ES,Environmental Studies,6,UG,R-14,IV SEM,1,0,3,0,0,30,70,3
14012203,PJ,EM-2,Mechanics of Materials-2,1,UG,R-14,IV SEM,1,0,3,1,0,30,70,3
14012204,PJ,AS,Advanced Surveying,1,UG,R-14,IV SEM,1,0,3,1,0,30,70,3
14012205,PJ,FM,Fluid Mechanics-1,1,UG,R-14,IV SEM,1,0,3,1,0,30,70,3
14012206,PJ,BC,Building Construction,1,UG,R-14,IV SEM,1,0,3,1,0,30,70,3
14012207,PJ,SA,Structural Analysis,1,UG,R-14,IV SEM,1,0,3,1,0,30,70,3
14012208,PJ,SL-2,Surveying Lab 2,1,UG,R-14,IV SEM,0,1,0,0,3,50,50,2
14012209,ED,CABDL,Computer Aided Building Drawing Lab,1,UG,R-14,IV SEM,0,1,0,0,3,50,50,2
14013101,PJ,MMSA,Matrix Methods of Structural Analysis,1,UG,R-14,V SEM,1,0,3,1,0,30,70,3
14013102,PJ,FM-2,Fluid Mechanics-2,1,UG,R-14,V SEM,1,0,3,1,0,30,70,3
14013103,PJ,SM,Soil Mechanics,1,UG,R-14,V SEM,1,0,3,1,0,30,70,3
14013104,PJ,IRCD,Introduction to Reinforced Concrete Design,1,UG,R-14,V SEM,1,0,3,1,0,30,70,3
14013105,PJ,HM,Hydraulic Machinery,1,UG,R-14,V SEM,1,0,3,1,0,30,70,3
14013106,PJ,WSE,Water Supply Engineering,1,UG,R-14,V SEM,1,0,3,1,0,30,70,3
14013107,PJ,FMHML,Fluid Mechanics and Hydraulic Machinery Lab,1,UG,R-14,V SEM,0,1,0,0,3,50,50,2
14013108,PJ,SML-2,Soil Mechanics Lab-1,1,UG,R-14,V SEM,0,1,0,0,3,50,50,2
14013109,PJ,EG,Engineering Geology Lab,1,UG,R-14,V SEM,0,1,0,0,3,50,50,2
